video_id,title,num_click,uploaded_time,thumbnail
Fk8LVTvVGw4,충격적인 초밥집! 모든 접시가 1300원인데 두 점씩!?,10만회,7일 전,https://i.ytimg.com/vi/Fk8LVTvVGw4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzwyQKZ5uo1nYtvutrSCptMQXH8A
99IwQ0_N0fM,숙성회 끝판왕!? 한발만 늦어도 못 먹는 극악의 웨이팅 있는 집,11만회,2주 전,https://i.ytimg.com/vi/99IwQ0_N0fM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbOhUaxe_dbYRX5lI6pmM7VuAMJA
xA2B48ts2v8,지릴수밖에 없는 3만원짜리 극강의 가성비 코스,13만회,2주 전,https://i.ytimg.com/vi/xA2B48ts2v8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBZWJbkN7jhUHvO1Jlc2iHU-_6d-w
G7FBoZ_meIc,지림 주의! 외관 작살나는 최고의 식감 맛집,10만회,4주 전,https://i.ytimg.com/vi/G7FBoZ_meIc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdpJyjUHwOQ0hngXRjAYlKeCfKdg
DQR4mbJCtJ0,연탄불로 닭꼬치를!? 38년 전통의 레전드 맛집,9만회,1개월 전,https://i.ytimg.com/vi/DQR4mbJCtJ0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdDTabUPX9C3Zs6X3voOsELEf-wg
INULVqwIY9Q,술값을 일절 받지 않는 미친 집,13만회,1개월 전,https://i.ytimg.com/vi/INULVqwIY9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgK0-9yerK54TU8sBkBPuxyIdUbQ
67BMBswDrJ4,새벽인데도 사람들 오지게 줄 서서 먹는 집,12만회,1개월 전,https://i.ytimg.com/vi/67BMBswDrJ4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2EvXoMISqfMC5xi3VNYpq7vKwpw
dJ0jJJQo_Dw,믿을 수 없는 최고로 충격적인 횟집,23만회,1개월 전,https://i.ytimg.com/vi/dJ0jJJQo_Dw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDq7zQe9KcTHN3LJ6eUdwI-SjUTjQ
gocLoz-4Sog,"신동엽, 차승원도 최고로 꼽는 365일 동안 항상 사람이 많은 집",19만회,2개월 전,https://i.ytimg.com/vi/gocLoz-4Sog/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAG-6ak9U-3rAdvCfnVOS6_vQIUMA
viwLib-XQNk,앉자마자 5분 만에 행복해지는 쩌는 집,14만회,2개월 전,https://i.ytimg.com/vi/viwLib-XQNk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCk7le43XTH1SlcGpM_of5OhLQN4A
LKukMbqe-cA,서울에서 가장 살발한 산,13만회,2개월 전,https://i.ytimg.com/vi/LKukMbqe-cA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQ8bDzbu_sdt2Jk6P4CTG0a_7gWw
jzU5RgFwbVE,53년된 전설의 포장마차 그리고 비밀의 2차 코스,17만회,2개월 전,https://i.ytimg.com/vi/jzU5RgFwbVE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUxRSNXTbW82nIGE_sNPU3bUBpIw
wC4tePnrb7w,하루 1000그릇도 넘게 팔리는 전설의 국수집,24만회,2개월 전,https://i.ytimg.com/vi/wC4tePnrb7w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOqqpmfV7m-kqwM2lTsV_pRYRGQw
ql12C4pRaW0,말도 안되는 가격에 고퀄리티 한우를 파는 집,19만회,3개월 전,https://i.ytimg.com/vi/ql12C4pRaW0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC62ClFsF-Jkm6UO6Q4JXHYnaJLNw
ABO5O43w3CM,0.1초면 예약 끝나버리는 미쳐버린 술집,50만회,3개월 전,https://i.ytimg.com/vi/ABO5O43w3CM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-zkUaJrFO8VSkpymT5IZ10ybfgQ
agsqPTAcWNg,메뉴 하나로 38년 동안 일등먹은 진정한 해장국집,18만회,4개월 전,https://i.ytimg.com/vi/agsqPTAcWNg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABfA84bA2X2EJwI-ki6WGUl3K1kw
