video_id,naver_url_key,shop_name,shop_location
67BMBswDrJ4,GnGCvn5l,소문난성수감자탕,서울 성동구 연무장길 45
67BMBswDrJ4,FDQnNuKZ,영수분식,서울 성동구 성덕정15길 4-8
dJ0jJJQo_Dw,xE1RryNw,진진바리횟집,서울 강서구 공항대로46길 13-12
gocLoz-4Sog,FhAd6y4B,나리의 집,서울 용산구 이태원로 245
viwLib-XQNk,GSgmOFyE,나들목식당,서울 영등포구 양평로30길 51 나들목식당
LKukMbqe-cA,xcKJFYSA,산수갑산,서울 중구 을지로20길 24
jzU5RgFwbVE,5TviMI0U,필동해물,서울 중구 필동로 30
jzU5RgFwbVE,535HFung,선미네마트,서울 중구 필동로 31-1 (필동3가) 선미슈퍼
wC4tePnrb7w,FKKxKQCP,광화문미진,서울 종로구 종로 19
wC4tePnrb7w,GhE8pGXz,송옥,서울 중구 남대문로1길 11
ql12C4pRaW0,5Db9180Z,지우정,서울 강북구 삼각산로 130 1층
ABO5O43w3CM,FyKqr77x,냐옹지마,서울 영등포구 도림로141다길 13-2
agsqPTAcWNg,F6mxzIMJ,일등식당,서울 마포구 방울내로 82
7FmoBfaL45g,G0fJYnEO,진주회관,서울 중구 세종대로11길 26
7FmoBfaL45g,FOvhXOjr,중림장설렁탕,서울 중구 청파로 459-1
7FmoBfaL45g,5Tvioam3,순흥옥,서울 중구 을지로33길 9
7FmoBfaL45g,5U1G31Ux,삼거리먼지막순대국,서울 영등포구 시흥대로185길 11
vR8ZLVRjcBY,ForRrO6K,충무로쭈꾸미불고기 충무로본점,서울 중구 퇴계로31길 11
BmdbBqaW0cU,xE1h6bLn,전주식당,서울 금천구 독산로109길 27 1층 전주식당
DtVVFWA1TyA,54VkXnsH,포석정,서울 서초구 신반포로 194 서울고속버스터미날
R2Kv_Is5-YE,FslKlm7e,소나무,서울 성동구 행당로17길 20
LvfBEJipU6o,F5bFBDte,꽃게살비빔밥 꽃게탕 시청점,전남 여수시 시청서1길 50-7 1층
LvfBEJipU6o,5zvbEihJ,우창호 회포장&amp;직판장,전남 여수시 신월로 284-1 우창호 회포장&amp;직판장
LvfBEJipU6o,xWNhwCb5,주연참숯갈비,전남 여수시 신기남4길 10
LvfBEJipU6o,FhAN2T60,진선(갱조개),전남 광양시 진월면 선소중앙길 43
5OEjcfept_M,F8Knc50H,허심탄회,서울 송파구 가락로16길 3-6
6zVQ2TaXtPI,GGhU4A7r,애성회관한우곰탕,서울 중구 남대문로5길 23 세창빌딩 1층
VL64tTnTkeY,FrKA9rEY,조개도,서울 성동구 성덕정17길 8-1
Z0SSMuySeII,FT0kkSpe,중림동 물고기,서울 중구 만리재로35길 50-1
