video_id,playlist_title,thumbnail_url,artist,title
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Kelly Lee Owens,S.O
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Galcher Lustwerk,Warming Up
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Oso Leone,Virtual U
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Linkwood,Love Lost
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Domenique Dumont,Arrival
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Salami Rose Joe Louis,Nostalgic Montage
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Blue Gas,Shadows From Nowhere (Original Version)
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Akasha System,Sunbreather
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Laura Groves,Thinking About Thinking
ODmlkRfevjA,[playlist] 시선을 벗어나 유영하는 시간,https://i.ytimg.com/vi/ODmlkRfevjA/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLD8795_-qy3NwDl3YUwjPSAXYmunw,Bing \u0026 Ruth feat. Nailah Hunter,Badwater Psalm (Nailah Hunter Remix)
uUarXDDM0lQ,[playlist] 나를 위한 순간에 머무를 때 비로소 아름다워지기를,https://i.ytimg.com/vi/uUarXDDM0lQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLBCG7YwKEmprbD4ByAeq75slKKaNw,Green Day,Last Night on Earth
uUarXDDM0lQ,[playlist] 나를 위한 순간에 머무를 때 비로소 아름다워지기를,https://i.ytimg.com/vi/uUarXDDM0lQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLBCG7YwKEmprbD4ByAeq75slKKaNw,Nothing but Thieves,If I Get High
uUarXDDM0lQ,[playlist] 나를 위한 순간에 머무를 때 비로소 아름다워지기를,https://i.ytimg.com/vi/uUarXDDM0lQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLBCG7YwKEmprbD4ByAeq75slKKaNw,Radiohead,(Nice Dream)
uUarXDDM0lQ,[playlist] 나를 위한 순간에 머무를 때 비로소 아름다워지기를,https://i.ytimg.com/vi/uUarXDDM0lQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLBCG7YwKEmprbD4ByAeq75slKKaNw,Radiohead,High and Dry
uUarXDDM0lQ,[playlist] 나를 위한 순간에 머무를 때 비로소 아름다워지기를,https://i.ytimg.com/vi/uUarXDDM0lQ/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=\u0026rs=AOn4CLBCG7YwKEmprbD4ByAeq75slKKaNw,Broken Social Scene,Lover's Spit
