video_id,playlist_title,thumbnail_url,artist,title
buLYwh_XJmo,내일이 기대되지 않아도 괜찮아 [Playlist],https://i.ytimg.com/vi/buLYwh_XJmo/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4OgAK4CIoCDAgAEAEYEyBlKHIwDw==\u0026rs=AOn4CLANUX3SGVHlpwzm6Cs9jf-1AumInQ,keshi,us
buLYwh_XJmo,내일이 기대되지 않아도 괜찮아 [Playlist],https://i.ytimg.com/vi/buLYwh_XJmo/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4OgAK4CIoCDAgAEAEYEyBlKHIwDw==\u0026rs=AOn4CLANUX3SGVHlpwzm6Cs9jf-1AumInQ,Before You Exit,Clouds
buLYwh_XJmo,내일이 기대되지 않아도 괜찮아 [Playlist],https://i.ytimg.com/vi/buLYwh_XJmo/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4OgAK4CIoCDAgAEAEYEyBlKHIwDw==\u0026rs=AOn4CLANUX3SGVHlpwzm6Cs9jf-1AumInQ,HONNE,Location Unknown ◐ (feat. BEKA) (Brooklyn Session)
buLYwh_XJmo,내일이 기대되지 않아도 괜찮아 [Playlist],https://i.ytimg.com/vi/buLYwh_XJmo/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4Af4OgAK4CIoCDAgAEAEYEyBlKHIwDw==\u0026rs=AOn4CLANUX3SGVHlpwzm6Cs9jf-1AumInQ,Anson Seabra,Welcome to Wonderland
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,Sam Tompkins,Charlie
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,Justin Bieber,Anyone
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,"Jeremy Zucker, Chelsea Cutler",emily
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,"Kina, Mishaal",Tell Me About You
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,keshi,drunk
4pVzQtIrD4I,오직 나를 위한 온전한 하루가 주어진다면 [Playlist],https://i.ytimg.com/vi/4pVzQtIrD4I/hqdefault.jpg?sqp=-oaymwE9CNACELwBSFryq4qpAy8IARUAAAAAGAElAADIQj0AgKJDeAHwAQH4AdQGgALgA4oCDAgAEAEYZSBbKEMwDw==\u0026rs=AOn4CLASCchb3VUaNPD9bXO0Fp8jdWXxHA,Chris James,The Green
